,Laptop,ItexvsCypress,IS_BT_Acquisition,Grocery,thompson,Car,EnergySmall_A,Average
Boulware-Boulware,66.350,56.543,65.525,68.162,69.833,64.870,72.133,66.202
Boulware-Conceder,7.520,51.070,7.380,23.990,65.205,58.565,65.145,39.839
Boulware-Linear,45.750,60.145,43.540,49.865,63.660,54.410,65.525,54.699
Boulware-Atlas3,47.210,53.150,36.660,55.130,62.375,54.870,64.875,53.467
Conceder-Conceder,5.560,3.565,3.605,3.900,4.470,3.035,4.295,4.061
Conceder-Linear,9.090,16.810,7.545,10.230,19.520,10.305,29.970,14.781
Conceder-Atlas3,9.500,26.435,8.035,13.550,28.945,14.935,36.835,19.748
Linear-Linear,30.230,26.155,21.870,21.895,36.190,24.605,44.815,29.394
Linear-Atlas3,31.375,35.265,20.495,24.850,42.090,30.425,44.200,32.671
Atlas3-Atlas3,31.100,40.855,17.125,32.700,43.520,35.325,43.235,34.837
Average,28.369,36.999,23.178,30.427,43.581,35.135,47.103,34.970
