,Laptop,ItexvsCypress,IS_BT_Acquisition,Grocery,thompson,Car,EnergySmall_A,Average
Boulware-Boulware,0.636,0.454,0.778,0.562,0.566,0.618,0.414,0.576
Boulware-Conceder,0.641,0.530,0.784,0.588,0.559,0.609,0.401,0.587
Boulware-Linear,0.651,0.489,0.778,0.574,0.553,0.623,0.411,0.583
Boulware-Atlas3,0.655,0.484,0.789,0.580,0.543,0.609,0.409,0.581
Conceder-Conceder,0.747,0.512,0.813,0.619,0.571,0.678,0.448,0.627
Conceder-Linear,0.710,0.521,0.826,0.684,0.595,0.622,0.410,0.624
Conceder-Atlas3,0.716,0.520,0.818,0.652,0.566,0.621,0.425,0.617
Linear-Linear,0.699,0.521,0.796,0.666,0.567,0.620,0.413,0.612
Linear-Atlas3,0.736,0.500,0.784,0.607,0.563,0.619,0.439,0.607
Atlas3-Atlas3,0.720,0.524,0.797,0.605,0.578,0.632,0.441,0.614
Average,0.691,0.506,0.796,0.614,0.566,0.625,0.421,0.603
