,Laptop,ItexvsCypress,IS_BT_Acquisition,Grocery,thompson,Car,EnergySmall_A,Average
Boulware-Boulware,0.416,0.184,0.556,0.252,0.198,0.372,0.120,0.300
Boulware-Conceder,0.412,0.202,0.537,0.259,0.178,0.352,0.116,0.294
Boulware-Linear,0.428,0.184,0.538,0.255,0.182,0.368,0.117,0.296
Boulware-Atlas3,0.430,0.173,0.540,0.250,0.169,0.353,0.110,0.289
Conceder-Conceder,0.469,0.185,0.563,0.280,0.194,0.359,0.127,0.311
Conceder-Linear,0.463,0.204,0.609,0.342,0.210,0.369,0.119,0.331
Conceder-Atlas3,0.460,0.182,0.599,0.261,0.189,0.353,0.095,0.306
Linear-Linear,0.467,0.219,0.579,0.353,0.216,0.390,0.132,0.337
Linear-Atlas3,0.482,0.185,0.572,0.270,0.183,0.373,0.118,0.312
Atlas3-Atlas3,0.451,0.179,0.580,0.235,0.163,0.351,0.097,0.294
Average,0.448,0.190,0.567,0.276,0.188,0.364,0.115,0.307
