,Laptop,ItexvsCypress,IS_BT_Acquisition,Grocery,thompson,Car,EnergySmall_A,Average
Boulware-Boulware,2.048,1.626,2.455,1.794,1.778,2.188,1.525,1.916
Boulware-Conceder,2.076,1.814,2.448,1.890,1.752,2.162,1.530,1.953
Boulware-Linear,2.117,1.728,2.446,1.856,1.752,2.190,1.531,1.946
Boulware-Atlas3,2.127,1.714,2.451,1.853,1.726,2.157,1.518,1.935
Conceder-Conceder,2.338,1.715,2.482,1.959,1.759,2.158,1.529,1.991
Conceder-Linear,2.304,1.788,2.545,2.091,1.851,2.192,1.566,2.048
Conceder-Atlas3,2.318,1.723,2.531,1.848,1.769,2.155,1.455,1.971
Linear-Linear,2.282,1.814,2.504,2.104,1.831,2.224,1.578,2.048
Linear-Atlas3,2.313,1.751,2.493,1.927,1.747,2.185,1.524,1.992
Atlas3-Atlas3,2.293,1.734,2.502,1.818,1.686,2.134,1.449,1.945
Average,2.222,1.741,2.486,1.914,1.765,2.175,1.520,1.975
