,Coffee,Camera,Lunch,SmartPhone,Kitchen,Average
Boulware-Boulware,82.667%,86.833%,99.333%,97.000%,100.000%,93.167%
Boulware-Conceder,99.667%,98.333%,100.000%,99.167%,100.000%,99.433%
Boulware-Linear,99.500%,98.500%,100.000%,99.000%,100.000%,99.400%
Boulware-Atlas3,100.000%,99.000%,99.667%,99.667%,100.000%,99.667%
Conceder-Conceder,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%
Conceder-Linear,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%
Conceder-Atlas3,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%
Linear-Linear,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%
Linear-Atlas3,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%
Atlas3-Atlas3,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%
Average,98.183%,98.267%,99.900%,99.483%,100.000%,99.167%
